pickup_line			
"""Girl, do you have a shovel in your back pocket?"" (No Why?) ""I'm diggin' that ass."""			
"""I have a boyfriend."" “I have a math test.” ""What?"" “Sorry, I thought we were talking about things we can cheat on.”"			
[Point at her ass] Pardon me	 is this seat taken?		
"@burningorphan you at the bar: ""Hey baby, come home with me and I'll show you why they call me dirty Dan."""			
Are we near the airport or is that just my heart taking off?			
Are you a 45 degree angle? Because you’re acute-y.			
Are you a 90 degree angle? ‘Cause you’re looking right!			
Are you a beaver? Cause damn.			
Are you a bowling ball? I want to stick 3 fingers in you.			
Are you a carbonated drink? Because you’re making me all bubbly on the inside.			
Are you a drum set? I want to bang you.			
Are you a fossil? because I dig you.			
Are you a keyboard? Cause you're just my type.			
Are you a parking ticket? 'Cause you've got fine written all over you.			
Are you a pilot? I'd love to show you my cock pit.			
Are you a pinky toe? Because I want to bang you on all my furniture.			
Are you a red solo cup? I'd love to fill you up.			
Are you a shark? Cause I've got some swimmers for you to swallow.			
Are you a shin? I'd bang you on my coffee table.			
Are you a termite? Cause you're about to have a mouth full of wood.			
Are you a tower?  Eiffel for you.			
Are you an interior decorator? When I saw you	 the room became beautiful.		
Are you are parking ticket.... Because.... Actually screw that	 just pay this parking ticket for me.		
Are you Asian? Cause I'm China get on you.			
Are you Christmas? Because I wanna merry you!			
Are you cold? You look like you could use some hot chocolate... Well	 here I am!		
Are you French? Because Eiffel for you.			
Are you from Africa? Because African love you.			
Are you from Alaska? Cause I'll-aska-ya out.			
Are you from China? Because I'm China get your number.			
Are you from India? Cause I’m trying to get In-di-a pants.			
Are you from Ireland? my dick's-a-Dublin!			
Are you from Tennessee? Because you're the only ten I see!			
Are you from Tennessee? Cause take off your pants.			
Are you from the ghetto? Cause I'm about to ghetto hold of dat ass.			
Are you from the the Middle East? Your body IS-REAL			
Are you going to kiss me or do I have to lie to my diary?			
Are you in Al-Qaida? Because you are the bomb.			
Are you in the army? I'd love for you to salute my privates.			
Are you lost ma'am? Because heaven is a long way from here.			
Are you Michael Jackson? Because you make me wanna Beat It.			
Are you my new boss? Cause you just gave me a raise.			
Are you related to Yoda? Cause yodalicious.			
Are you religious? Cause you are the answers to all my prayers.			
Are you sitting on the F5 key? Cause your ass is refreshing.			
Are you Snickers? ‘Cause you satisfy me.			
Are you the dub to my step? cause I wanna wub you			
Are you the government? Because I'd love to shut down your Oval Office.			
Are you Vietnamese? Cause I'm falling pho you.			
Are your legs made of Nutella? Cause I'd like to spread them			
Babe	 your beauty makes the morning sun look like the dull glimmer of the moon.		
Baby that ass is like Wendy's... You know when its real.			
Baby	 I didn’t see any stars in the sky tonight	 the most heavenly body was sitting right next to me.	
Baby	 I'm no Fred Flintstone	 but I can make your Bedrock!	
Baby	 if you were words on a page	 you'd be what they call FINE PRINT!	
Baby	 you are so fine I could put you on a plate and sop you up with a biscuit.		
Baby	 you're as hot as the bottom of my laptop.		
Baby	 you're just like a snowflake: beautiful	 unique	 and with one touch  you'll be wet ❄
Baby	 you're like a student and I am like a math book	 you solve all my problems.	
Baby	 you're so sweet	 you put Hershey's outta business.	
Be unique and different	 say yes.		
Boys will break your heart. Real men will pick up the pieces.			
"Can I borrow a quarter? [""What for?""] I want to call my mom and tell her I just met the man/woman of my dreams."			
Can I buy you a drink or do you just want the money?			
Can I get a picture to prove to all my friends that angels really do exist?			
Can I have a picture of you so I can show Santa what I want for Christmas?			
Can I have directions? [To where?] To your heart.			
Can you stand still for a picture? I need to send it to Santa and inform him of what I want.			
Caution: Please keep your distance. I might fall for you.			
Coffee? Tea? Me?			
Come inside my RV and I'll show you some real chemistry.			
Damn baby	 are you cake? Cause I want a piece of that.		
Damn baby	 you're like a Sharpie - super fine.		
Damn girl you're thicker than a first grade pencil.			
Damn girl	 you remind me of a green bottle 'Cause I wanna Mount and Do you.		
Damn	 if being sexy was a crime	 you'd be guilty as charged!	
Damn	 you're so hot my zipper is falling for you.		
Did it hurt? (Did what hurt?) When you fell out of heaven?			
Did the sun come out or did you just smile at me?			
Did you clean your pants with Windex? I can practically see myself in them.			
Did you come out of an owl’s mouth? Because you are a hoot.			
Did you fall from heaven? Because have sex with me.			
Did you fart	 cause you blew me away.		
Did you get hit in the head? Because I think you look swell!			
Did you get those pants on sale? Because if they were at my house they would be 100 percent off.			
Did you invent the airplane? You seem Wright for me.			
Did you sit on a pile of sugar? Cause you've got a sweet ass.			
Do I know you? You look a lot like my next girlfriend.			
Do you believe in Hereafters? Because I will be here after if you are interested.			
Do you believe in love at first sight	 or should I walk by again?		
Do you cum here often? No? Want too?			
Do you have a BandAid? I just scraped my knee falling for you.			
Do you have a cell phone I can borrow? I have to call God and tell him one of his angels is missing.			
Do you have a map? I'm getting lost in your eyes.			
Do you have a mirror in your pants.... Because I'd love to look at myself instead of you.			
Do you have a name or can I call you mine?			
Do you have a phone in your back pocket because dat ass is calling.			
Do you have a twin sister? Then you must be the most beautiful girl in the world!			
Do you have an inhaler? Because you’ve got ass ma.			
Do you have the time? [Tells you the time] No	 the time to write down my number?		
Do you know karate? Because your body is really kickin'.			
Do you know the difference between a Ferrari and an erection? Well	 I don't have a Ferrari.		
Do you know what I did last night? I looked up at the stars	 and matched each one with a reason why I love you.		
Do you like Adele? I can tell you want to be rolling in the D.			
Do you like dragons? Because in a minutes I'm going to be dragon these nuts across your face.			
Do you mix concrete for a living? You're making me hard.			
Do you run track? Cause I heard you relay want this dick.			
Do you smell hotdogs? You've certainly made my wiener-stand.			
Do you strip or do you just look like it?			
Do you want to do a 68? You go down and I’ll owe you one.			
"Do you wear boxers? Because I'd be ""brief"" in taking your clothes off."			
Do you work at subway? Because you just gave me a footlong.			
Do you work for Papa Johns? You're a fine pizza ass!			
Do you work for UPS? I could have sworn I saw you checking out my package.			
Does your ass have Allstate insurance? [No	 why?] Well do you want it to be in good hands?		
Don’t you know me from somewhere?			
Even if there weren't gravity on earth I'd still fall for you.			
Ever stuck a hot dog in a donut?			
Excuse me miss	 can I have the time? I’d check my watch but I can’t take my eyes off you.		
Excuse me	 but does this smell like chloroform to you?		
Excuse me	 but I think I dropped something. MY JAW!		
"Excuse me, but you dropped something back there"" (What?) ""This conversation, lets pick it up later tonight."			
Excuse me	 but you're really cute.		
Excuse me	 but you're really cute.		
Excuse me	 do you have your phone number	 I seem to have lost mine.	
Excuse me	 do you mind if I stare at you for a minute? I want to remember your face for my dreams.		
Excuse me	 does this smell like chloroform to you?		
Excuse me	 I just noticed you noticing me and I just wanted to give you notice that I noticed you too.		
Excuse me	 I think you have something in your eye. Oh wait	 it's just a sparkle.	
Excuse me	 I’m lost. Can you give me directions to your house?		
Excuse me	 When’s our wedding date?		
Fascinating. I've been looking at your eyes all night long	 'cause I've never seen such dark eyes with so much light in them.		
Feeling sick? Try some vitamin my dick.			
For a moment I thought I had died and gone to heaven. Now I see that I am very much alive	 and heaven has been brought to me.		
Forget Aladdin	 I'm thinking about your carpet.		
Fun is my 2nd favorite F word...			
Get entered at your own risk.			
Good thing I wore my gloves today	 you’d be too hot to handle.		
Great tits	 I'd love to suck them right off of ya.		
Have sex with me if I'm wrong but do you want to have sex with me?			
Have you ever kissed a rabbit between the ears? [Pull your pockets inside out] Would you like to?			
"Hello are you married? [Yes] Well I didn't hear you say ""happily""."			
Hello how are you? [Fine] Hey	 I didn't ask you how you looked!		
Hello	 I'm a thief	 and I'm here to steal your heart.	
Hello. Are you taking any applications for a boy/girlfriend?			
Hey baby on a scale from 1 to Spongebob how ready are you?			
Hey baby you're so fine you make me stutter	 wha-wha-what's your name?		
Hey baby	 is your name SAT? I want to do you for 3 hours and 45 minutes.		
Hey baby	 you must be a light switch. Every time I see you	 you turn me on!	
Hey Beauty	 can I introduce you to my Beast?		
"Hey can I follow you home? (""What?"") Oh, sorry. My parents just told me to follow my dreams."			
Hey	 are your parents beavers? Cuz DAMMMMMMMMMMMMMMMM.		
Hey	 don’t frown. You never know who could be falling in love with your smile.		
Hey	 I play Soccer!		
Hey	 is it just me	 or are we destined to be married?	
"Hey... Didn't I see your name in the dictionary under ""Shazaam!""?"			
Hey...somebody farted. Let's get out of here.			
Hi	 I'm Andy. Want to play with my Woody?		
"Hi, my name is Doug. That's ""god"" spelled backwards with a little bit of you wrapped up in it."			
Hi	 my name is Milk. I'll do your body good.		
Hi. I'm gay	 think you can convert me?		
How much does a polar bear weigh? [How much?] Enough to break the ice... Hi	 I'm (insert name here).		
How was heaven when you left it?			
How's your family tree? I'd love to unzip your genes.			
I actually know the muffin man.			
I am so sorry... I think your legs are about to get a divorce.			
I bet you $20 you're gonna turn me down.			
I can fly anywhere in the world	 but only you can take me to heaven.		
I can sense that you are a terrific lover and that intimidates me a little.			
I can’t find my puppy. Can you help me find him? I think he went inside this cheap motel room.			
I cant taste my lips could you do it for me?!			
I could stare at you a bit longer.			
I didn't know that angels could fly so low!			
I didn't see any stars in the sky tonight	 the most heavenly body was standing right next to me.		
I don't have a library card	 but do you mind if I check you out?		
I have a job for you	 but it blows.		
I have a job for you.... but it blows			
I have a pen	 You have a phone number. Think of the possibilities.		
I have a six inch tongue and I can breathe with my ears			
"I have an ""owie"" on my lip. Will you kiss it and make it better?"			
I have an erection that has lasted longer than 4 hours. Sup.			
I have an X in my equation that U can replace.			
